classificatore,n_fold,precision,recall,accuracy,f1_score
Ridge Classifier,0,0.8551180363034466,0.7610809933356667,0.8530534351145038,0.7830761704723306
Ridge Classifier,1,0.8845505344970681,0.815442173059273,0.8721374045801527,0.8375467725611994
Ridge Classifier,2,0.823906939682799,0.7585427963777883,0.8225190839694656,0.7765372174256868
Ridge Classifier,3,0.8444182723594489,0.835178750317512,0.8795411089866156,0.8384859076200097
Ridge Classifier,4,0.8118927052042911,0.7793180684304607,0.8413001912045889,0.7908127858893372
Naive Bayes,0,0.8253572816308374,0.8031195176841083,0.8587786259541985,0.81069099765026
Naive Bayes,1,0.853985140580875,0.8427011039908844,0.8721374045801527,0.8435647897665033
Naive Bayes,2,0.8113306745043918,0.8144219411075817,0.8396946564885496,0.8098681351963518
Naive Bayes,3,0.8788457462545176,0.9019972489978506,0.9139579349904398,0.8859903476153956
Naive Bayes,4,0.7604906924552327,0.7759117641882408,0.8126195028680688,0.7642743015982453
SGD Classifier,0,0.8535912812613631,0.79356382084884,0.8606870229007634,0.8134077585026956
SGD Classifier,1,0.8987034145683748,0.8540028391972587,0.8912213740458015,0.870122415320161
SGD Classifier,2,0.7954292691903936,0.7868846793320807,0.8244274809160306,0.7882636532874019
SGD Classifier,3,0.8313145590535493,0.8423521677118898,0.8604206500956023,0.834038722082618
SGD Classifier,4,0.7788274187625762,0.7748254908225569,0.8221797323135756,0.7746716637540899
Neirest Neighbors,0,0.8023558891187275,0.7731526369922744,0.8301526717557252,0.7812057469191477
Neirest Neighbors,1,0.8436808554647071,0.8159004589837177,0.8396946564885496,0.8226179404182552
Neirest Neighbors,2,0.8112878703960152,0.7988066272086655,0.8187022900763359,0.8001995527555751
Neirest Neighbors,3,0.8281057764973444,0.8518327619922973,0.8623326959847036,0.8336055435119691
Neirest Neighbors,4,0.7595216252925144,0.7761428420789568,0.8107074569789675,0.7654763263333014
Extra Trees,0,0.7850833056191338,0.6622060300861301,0.7938931297709924,0.6691314510383236
Extra Trees,1,0.8638054632885078,0.700599612984754,0.8206106870229007,0.708376063108591
Extra Trees,2,0.7303445706549775,0.6455550840799159,0.75,0.6533416688005319
Extra Trees,3,0.8612490678944507,0.7722142398906294,0.8661567877629063,0.7868867323038193
Extra Trees,4,0.7553410153942691,0.6588585714648652,0.7820267686424475,0.6656725904050649
Random Forest,0,0.7115471236595395,0.6650425924433503,0.799618320610687,0.6665297417840993
Random Forest,1,0.7083893634973368,0.6651905775757188,0.7900763358778626,0.6656820004300246
Random Forest,2,0.640275597746105,0.6000429507795476,0.7194656488549618,0.6026861635555375
Random Forest,3,0.7310717890801725,0.707211121260028,0.8279158699808795,0.7086788878022556
Random Forest,4,0.6659797999372516,0.6339392762251116,0.7648183556405354,0.6323025080903675
Decision Tree,0,0.4899758684663308,0.4285097839900887,0.4751908396946565,0.44375107923101653
Decision Tree,1,0.5564108977290467,0.5118942779044751,0.5954198473282443,0.5114632749542023
Decision Tree,2,0.4511326786812285,0.391438093259394,0.43702290076335876,0.40220138209003686
Decision Tree,3,0.49371578251800013,0.45671424765958213,0.5162523900573613,0.4660921846500633
Decision Tree,4,0.4651805709206088,0.42956790845991505,0.45506692160611856,0.43521053131775117
SVC Classifier,0,0.8542006285880095,0.7947828425617095,0.8702290076335878,0.815008228930778
SVC Classifier,1,0.8944967100423661,0.8626949989847794,0.8874045801526718,0.8745037657183167
SVC Classifier,2,0.8137029056808915,0.758824052392659,0.816793893129771,0.7738207617847775
SVC Classifier,3,0.846290400710369,0.8629306299001522,0.8814531548757171,0.8520418362769878
SVC Classifier,4,0.8128950608379604,0.7878183223637756,0.847036328871893,0.7945294413846098
Logistic Regression,0,0.8004426699212885,0.6855743366264868,0.7938931297709924,0.7011943294487368
Logistic Regression,1,0.8511579025534642,0.7442549559733557,0.8148854961832062,0.7688725954762391
Logistic Regression,2,0.7757297227104558,0.6915661448851563,0.7614503816793893,0.7125277169580387
Logistic Regression,3,0.8160027352614198,0.784672844117691,0.8336520076481836,0.7960018568562941
Logistic Regression,4,0.7159669101849887,0.6793372309746003,0.7590822179732314,0.6906664181256122
